Frage,Antwort
What is the resolution of the display on Gionee S10?,5.5 inches 
How many pixels does the display of Gionee S10 have?,5.5 inches 
What is the display size of Gionee S10?,1080 x 1920 pixels 
How big is the display on Gionee S10?,1080 x 1920 pixels 
What is the diagonal size of the display on Gionee S10?,1080 x 1920 pixels 
What is the operating system of Gionee S10?,Android 7.0 
Which operating system does Gionee S10 use?,Android 7.0 
What is the software platform on Gionee S10?,Android 7.0 
What is the CPU of Gionee S10?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
What kind of processor does Gionee S10 have?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
Which CPU is used in Gionee S10?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
How much RAM does Gionee S10 have?,64 GB
What is the memory capacity of Gionee S10?,64 GB
What is the RAM size on Gionee S10?,64 GB
What is the resolution of the front camera on Gionee S10?,Dual 16 MP + 8 MP| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on Gionee S10?,Dual 16 MP + 8 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on Gionee S10?,Dual 16 MP + 8 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the price of Gionee S10?,380.0
How much does Gionee S10 cost?,380.0
What is the price tag of Gionee S10?,380.0
What is the published year of Gionee S10B?,2017
When was Gionee S10B published?,2017
In which year was Gionee S10B released?,2017
What is the display resolution of Gionee S10B?,5.5 inches
What is the resolution of the display on Gionee S10B?,5.5 inches
How many pixels does the display of Gionee S10B have?,5.5 inches
What is the display size of Gionee S10B?,1080 x 1920 pixels 
How big is the display on Gionee S10B?,1080 x 1920 pixels 
What is the diagonal size of the display on Gionee S10B?,1080 x 1920 pixels 
What is the operating system of Gionee S10B?,Android 7.0 
Which operating system does Gionee S10B use?,Android 7.0 
What is the software platform on Gionee S10B?,Android 7.0 
What is the CPU of Gionee S10B?,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
What kind of processor does Gionee S10B have?,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
Which CPU is used in Gionee S10B?,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
How much RAM does Gionee S10B have?,64 GB
What is the memory capacity of Gionee S10B?,64 GB
What is the RAM size on Gionee S10B?,64 GB
What is the resolution of the front camera on Gionee S10B?,Dual 13 MP + 5 MP| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on Gionee S10B?,Dual 13 MP + 5 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on Gionee S10B?,Dual 13 MP + 5 MP| phase detection autofocus| dual-LED (dual tone) flash
What is the price of Gionee S10B?,240.0
How much does Gionee S10B cost?,240.0
What is the price tag of Gionee S10B?,240.0
What is the published year of Gionee S10C?,2017
When was Gionee S10C published?,2017
In which year was Gionee S10C released?,2017
What is the display resolution of Gionee S10C?,5.2 inches
What is the resolution of the display on Gionee S10C?,5.2 inches
How many pixels does the display of Gionee S10C have?,5.2 inches
What is the display size of Gionee S10C?,720 x 1280 pixels 
How big is the display on Gionee S10C?,720 x 1280 pixels 
What is the diagonal size of the display on Gionee S10C?,720 x 1280 pixels 
What is the operating system of Gionee S10C?,Android 7.0 
Which operating system does Gionee S10C use?,Android 7.0 
What is the software platform on Gionee S10C?,Android 7.0 
What is the CPU of Gionee S10C?,Quad-core 1.4 GHz Cortex-A53
What kind of processor does Gionee S10C have?,Quad-core 1.4 GHz Cortex-A53
Which CPU is used in Gionee S10C?,Quad-core 1.4 GHz Cortex-A53
How much RAM does Gionee S10C have?,32 GB
What is the memory capacity of Gionee S10C?,32 GB
What is the RAM size on Gionee S10C?,32 GB
What is the resolution of the front camera on Gionee S10C?,13 MP| autofocus| LED flash
How many megapixels is the front camera on Gionee S10C?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gionee S10C?,13 MP| autofocus| LED flash
What is the price of Gionee S10C?,200.0
How much does Gionee S10C cost?,200.0
What is the price tag of Gionee S10C?,200.0
What is the published year of Gionee M6s Plus?,2017
When was Gionee M6s Plus published?,2017
In which year was Gionee M6s Plus released?,2017
What is the display resolution of Gionee M6s Plus?,6.0 inches 
What is the resolution of the display on Gionee M6s Plus?,6.0 inches 
How many pixels does the display of Gionee M6s Plus have?,6.0 inches 
What is the display size of Gionee M6s Plus?,1080 x 1920 pixels 
How big is the display on Gionee M6s Plus?,1080 x 1920 pixels 
What is the diagonal size of the display on Gionee M6s Plus?,1080 x 1920 pixels 
What is the operating system of Gionee M6s Plus?,Android 6.0 
Which operating system does Gionee M6s Plus use?,Android 6.0 
What is the software platform on Gionee M6s Plus?,Android 6.0 
What is the CPU of Gionee M6s Plus?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53)
What kind of processor does Gionee M6s Plus have?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53)
Which CPU is used in Gionee M6s Plus?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53)
How much RAM does Gionee M6s Plus have?,64/256 GB
What is the memory capacity of Gionee M6s Plus?,64/256 GB
What is the RAM size on Gionee M6s Plus?,64/256 GB
What is the resolution of the front camera on Gionee M6s Plus?,12 MP| f/1.9| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on Gionee M6s Plus?,12 MP| f/1.9| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on Gionee M6s Plus?,12 MP| f/1.9| phase detection autofocus| dual-LED (dual tone) flash
What is the price of Gionee M6s Plus?,460.0
How much does Gionee M6s Plus cost?,460.0
What is the price tag of Gionee M6s Plus?,460.0
What is the published year of Gionee A1 Plus?,2017
When was Gionee A1 Plus published?,2017
In which year was Gionee A1 Plus released?,2017
What is the display resolution of Gionee A1 Plus?,6.0 inches 
What is the resolution of the display on Gionee A1 Plus?,6.0 inches 
How many pixels does the display of Gionee A1 Plus have?,6.0 inches 
What is the display size of Gionee A1 Plus?,1080 x 1920 pixels 
How big is the display on Gionee A1 Plus?,1080 x 1920 pixels 
What is the diagonal size of the display on Gionee A1 Plus?,1080 x 1920 pixels 
What is the operating system of Gionee A1 Plus?,Android 7.0 
Which operating system does Gionee A1 Plus use?,Android 7.0 
What is the software platform on Gionee A1 Plus?,Android 7.0 
What is the CPU of Gionee A1 Plus?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
What kind of processor does Gionee A1 Plus have?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
Which CPU is used in Gionee A1 Plus?,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)
How much RAM does Gionee A1 Plus have?,64 GB
What is the memory capacity of Gionee A1 Plus?,64 GB
What is the RAM size on Gionee A1 Plus?,64 GB
What is the resolution of the front camera on Gionee A1 Plus?,Dual 13 MP + 5 MP| f/2.0| phase detection autofocus| LED flash
How many megapixels is the front camera on Gionee A1 Plus?,Dual 13 MP + 5 MP| f/2.0| phase detection autofocus| LED flash
What is the quality of the front-facing camera on Gionee A1 Plus?,Dual 13 MP + 5 MP| f/2.0| phase detection autofocus| LED flash
What is the price of Gionee A1 Plus?,370.0
How much does Gionee A1 Plus cost?,370.0
What is the price tag of Gionee A1 Plus?,370.0
What is the published year of Gionee A1?,2017
When was Gionee A1 published?,2017
In which year was Gionee A1 released?,2017
What is the display resolution of Gionee A1?,5.5 inches 
What is the resolution of the display on Gionee A1?,5.5 inches 
How many pixels does the display of Gionee A1 have?,5.5 inches 
What is the display size of Gionee A1?,1080 x 1920 pixels 
How big is the display on Gionee A1?,1080 x 1920 pixels 
What is the diagonal size of the display on Gionee A1?,1080 x 1920 pixels 
What is the operating system of Gionee A1?,Android 7.0 
Which operating system does Gionee A1 use?,Android 7.0 
What is the software platform on Gionee A1?,Android 7.0 
What is the CPU of Gionee A1?,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
What kind of processor does Gionee A1 have?,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
Which CPU is used in Gionee A1?,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
How much RAM does Gionee A1 have?,64 GB
What is the memory capacity of Gionee A1?,64 GB
What is the RAM size on Gionee A1?,64 GB
What is the resolution of the front camera on Gionee A1?,13 MP| f/2.0| phase detection autofocus| LED flash
How many megapixels is the front camera on Gionee A1?,13 MP| f/2.0| phase detection autofocus| LED flash
What is the quality of the front-facing camera on Gionee A1?,13 MP| f/2.0| phase detection autofocus| LED flash
What is the price of Gionee A1?,280.0
How much does Gionee A1 cost?,280.0
What is the price tag of Gionee A1?,280.0
What is the published year of Gionee F5?,2017
When was Gionee F5 published?,2017
In which year was Gionee F5 released?,2017
What is the display resolution of Gionee F5?,5.3 inches 
What is the resolution of the display on Gionee F5?,5.3 inches 
How many pixels does the display of Gionee F5 have?,5.3 inches 
What is the display size of Gionee F5?,720 x 1280 pixels 
How big is the display on Gionee F5?,720 x 1280 pixels 
What is the diagonal size of the display on Gionee F5?,720 x 1280 pixels 
What is the operating system of Gionee F5?,Android 6.0 
Which operating system does Gionee F5 use?,Android 6.0 
What is the software platform on Gionee F5?,Android 6.0 
What is the CPU of Gionee F5?,Octa-core 1.5 GHz Cortex-A53
What kind of processor does Gionee F5 have?,Octa-core 1.5 GHz Cortex-A53
Which CPU is used in Gionee F5?,Octa-core 1.5 GHz Cortex-A53
How much RAM does Gionee F5 have?,32 GB
What is the memory capacity of Gionee F5?,32 GB
What is the RAM size on Gionee F5?,32 GB
What is the resolution of the front camera on Gionee F5?,13 MP| autofocus| LED flash
How many megapixels is the front camera on Gionee F5?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gionee F5?,13 MP| autofocus| LED flash
What is the price of Gionee F5?,250.0
How much does Gionee F5 cost?,250.0
What is the price tag of Gionee F5?,250.0
What is the published year of Gionee M2017?,2016
When was Gionee M2017 published?,2016
In which year was Gionee M2017 released?,2016
What is the display resolution of Gionee M2017?,5.7 inches 
What is the resolution of the display on Gionee M2017?,5.7 inches 
How many pixels does the display of Gionee M2017 have?,5.7 inches 
What is the display size of Gionee M2017?,1440 x 2560 pixels 
How big is the display on Gionee M2017?,1440 x 2560 pixels 
What is the diagonal size of the display on Gionee M2017?,1440 x 2560 pixels 
What is the operating system of Gionee M2017?,Android 6.0.1 
Which operating system does Gionee M2017 use?,Android 6.0.1 
What is the software platform on Gionee M2017?,Android 6.0.1 
What is the CPU of Gionee M2017?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53)
What kind of processor does Gionee M2017 have?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53)
Which CPU is used in Gionee M2017?,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53)
How much RAM does Gionee M2017 have?,128 GB
What is the memory capacity of Gionee M2017?,128 GB
What is the RAM size on Gionee M2017?,128 GB
What is the resolution of the front camera on Gionee M2017?,Dual 12 MP + 13 MP| 2x optical zoom| phase detection autofocus| LED flash
How many megapixels is the front camera on Gionee M2017?,Dual 12 MP + 13 MP| 2x optical zoom| phase detection autofocus| LED flash
What is the quality of the front-facing camera on Gionee M2017?,Dual 12 MP + 13 MP| 2x optical zoom| phase detection autofocus| LED flash
What is the price of Gionee M2017?,1150.0
How much does Gionee M2017 cost?,1150.0
What is the price tag of Gionee M2017?,1150.0
What is the published year of Gionee Steel 2?,2016
When was Gionee Steel 2 published?,2016
In which year was Gionee Steel 2 released?,2016
What is the display resolution of Gionee Steel 2?,5.0 inches 
What is the resolution of the display on Gionee Steel 2?,5.0 inches 
How many pixels does the display of Gionee Steel 2 have?,5.0 inches 
What is the display size of Gionee Steel 2?,720 x 1280 pixels 
How big is the display on Gionee Steel 2?,720 x 1280 pixels 
What is the diagonal size of the display on Gionee Steel 2?,720 x 1280 pixels 
What is the operating system of Gionee Steel 2?,Android 6.0 
Which operating system does Gionee Steel 2 use?,Android 6.0 
What is the software platform on Gionee Steel 2?,Android 6.0 
What is the CPU of Gionee Steel 2?,Quad-core 1.25 GHz Cortex-A53
What kind of processor does Gionee Steel 2 have?,Quad-core 1.25 GHz Cortex-A53
Which CPU is used in Gionee Steel 2?,Quad-core 1.25 GHz Cortex-A53
How much RAM does Gionee Steel 2 have?,16/32 GB
What is the memory capacity of Gionee Steel 2?,16/32 GB
What is the RAM size on Gionee Steel 2?,16/32 GB
What is the resolution of the front camera on Gionee Steel 2?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Gionee Steel 2?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gionee Steel 2?,8 MP| autofocus| LED flash
What is the price of Gionee Steel 2?,210.0
How much does Gionee Steel 2 cost?,210.0
What is the price tag of Gionee Steel 2?,210.0
What is the published year of Gionee P7?,2016
When was Gionee P7 published?,2016
In which year was Gionee P7 released?,2016
What is the display resolution of Gionee P7?,5.0 inches
What is the resolution of the display on Gionee P7?,5.0 inches
How many pixels does the display of Gionee P7 have?,5.0 inches
What is the display size of Gionee P7?,720 x 1280 pixels 
How big is the display on Gionee P7?,720 x 1280 pixels 
What is the diagonal size of the display on Gionee P7?,720 x 1280 pixels 
What is the operating system of Gionee P7?,Android 6.0 
Which operating system does Gionee P7 use?,Android 6.0 
What is the software platform on Gionee P7?,Android 6.0 
What is the CPU of Gionee P7?,Quad-core 1.3 GHz
What kind of processor does Gionee P7 have?,Quad-core 1.3 GHz
Which CPU is used in Gionee P7?,Quad-core 1.3 GHz
